Source:,/home/marcos/electronica/Mrk industries/devs_internos/openPSU/hardware/design/openPSU.sch
Date:,Fri 26 Dec 2014 03:28:25 PM ART
Tool:,Eeschema (2014-08-24 BZR 5093)-product
Component Count:,85

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,mfg#
,,C1,10000uF 50v,openPSU-cache:C,,Capacitors_ThroughHole:Capacitor30x51RM10,,SLPX103M050E7P3
,,C10,100nF,openPSU-cache:C,,Capacitors_SMD:C_0805,,
,,C11,10uF,openPSU-cache:C,,Capacitors_SMD:C_0805,,GRM21BR71A106MA73L
,,C12,100nF,openPSU-cache:C,,Capacitors_SMD:C_0805,,
,,C13,100nF,openPSU-cache:C,,Capacitors_SMD:C_0805,,
,,C2,47uF 100v,openPSU-cache:C,,Capacitors_ThroughHole:Capacitor10x16RM5,,UPW2A470MPD
,,C3,47uF,openPSU-cache:C,,Capacitors_SMD:C_0805,,CL21A476MQCLRNC
,,C4,100nF,openPSU-cache:C,,Capacitors_SMD:C_0805,,CL21B104KBCNNNC
,,C5,100nF,openPSU-cache:C,,Capacitors_SMD:C_0805,,
,,C6,100pF,openPSU-cache:C,,Capacitors_SMD:C_0805,,C0805C101J5GACTU
,,C7,47uF 100v,openPSU-cache:C,,Capacitors_ThroughHole:Capacitor10x16RM5,,UPW2A470MPD
,,C8,330pF,openPSU-cache:C,,Capacitors_SMD:C_0805,,C0805C331J5GACTU
,,C9,100pF,openPSU-cache:C,,Capacitors_SMD:C_0805,,C0805C101J5GACTU
,,CONN1,AC,openPSU-cache:CONN_01X01,,Wire_Pads:SolderWirePad_single_2mmDrill,,
,,CONN2,AC,openPSU-cache:CONN_01X01,,Wire_Pads:SolderWirePad_single_2mmDrill,,
,,CONN3,V+,openPSU-cache:CONN_01X01,,Wire_Pads:SolderWirePad_single_2-5mmDrill,,
,,CONN4,GND,openPSU-cache:CONN_01X01,,Wire_Pads:SolderWirePad_single_2-5mmDrill,,
,,CONN5,SHUNT-,openPSU-cache:CONN_01X01,,Socket_Strips:Socket_Strip_Straight_1x01,,
,,CONN6,SHUNT+,openPSU-cache:CONN_01X01,,Socket_Strips:Socket_Strip_Straight_1x01,,
,,CONN7,C,openPSU-cache:CONN_01X01,,Wire_Pads:SolderWirePad_single_2mmDrill,,
,,CONN8,B,openPSU-cache:CONN_01X01,,Wire_Pads:SolderWirePad_single_2mmDrill,,
,,CONN9,E,openPSU-cache:CONN_01X01,,Wire_Pads:SolderWirePad_single_2mmDrill,,
,,CONN_LED1,H,openPSU-cache:CONN_01X01,,Socket_Strips:Socket_Strip_Straight_1x01,,
,,CONN_LED2,L,openPSU-cache:CONN_01X01,,Socket_Strips:Socket_Strip_Straight_1x01,,
,,D1,S3G-13-F,openPSU-cache:DIODE,,Diodes_SMD:Diode-SMC_Standard,,S3G-13-F
,,D10,1N4148,openPSU-cache:DIODE,,Mrk:SOD-123,,1N4148W-7-F
,,D11,SS1200-LTP,openPSU-cache:DIODE,,Diodes_SMD:Diode-SMA_Standard,,SS1200-LTP
,,D12,OVERCURRENT,openPSU-cache:LED,,LEDs:LED-0805,,LH R974-LP-1
,,D13,1N4148,openPSU-cache:DIODE,,Mrk:SOD-123,,1N4148W-7-F
,,D14,6.8v ZENER,openPSU-cache:ZENER,,SMD_Packages:SOT-23,,BZX84C6V8LT1G
,,D15,TVS,openPSU-cache:TVS,,Diodes_SMD:Diode-SMB_Standard,,1SMB30AT3G
,,D2,S3G-13-F,openPSU-cache:DIODE,,Diodes_SMD:Diode-SMC_Standard,,S3G-13-F
,,D3,S3G-13-F,openPSU-cache:DIODE,,Diodes_SMD:Diode-SMC_Standard,,S3G-13-F
,,D4,S3G-13-F,openPSU-cache:DIODE,,Diodes_SMD:Diode-SMC_Standard,,S3G-13-F
,,D5,1N4148,openPSU-cache:DIODE,,Mrk:SOD-123,,1N4148W-7-F
,,D6,1N4148,openPSU-cache:DIODE,,Mrk:SOD-123,,1N4148W-7-F
,,D7,6.8v ZENER,openPSU-cache:ZENER,,Transistors_SMD:sot23,,BZX84C6V8LT1G
,,D8,BLOWN,openPSU-cache:LED,,LEDs:LED-0805,,
,,D9,1N4148,openPSU-cache:DIODE,,Mrk:SOD-123,,
,,F1,10A,openPSU-cache:FUSE,,Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_open_universal_Type-III,,01110501Z
,,P1,10k,openPSU-cache:POT,,,,
,,P2,10k,openPSU-cache:POT,,,,
,,P3,Monitor,openPSU-cache:CONN_01X03,,Socket_Strips:Socket_Strip_Straight_1x03,,
,,POT_I1,H,openPSU-cache:CONN_01X01,,Socket_Strips:Socket_Strip_Straight_1x01,,
,,POT_I2,W,openPSU-cache:CONN_01X01,,Socket_Strips:Socket_Strip_Straight_1x01,,
,,POT_I3,L,openPSU-cache:CONN_01X01,,Socket_Strips:Socket_Strip_Straight_1x01,,
,,POT_V1,H,openPSU-cache:CONN_01X01,,Socket_Strips:Socket_Strip_Straight_1x01,,
,,POT_V2,W,openPSU-cache:CONN_01X01,,Socket_Strips:Socket_Strip_Straight_1x01,,
,,POT_V3,L,openPSU-cache:CONN_01X01,,Socket_Strips:Socket_Strip_Straight_1x01,,
,,Q1,BC846B,openPSU-cache:NPN,,SMD_Packages:SOT-23,,"BC846B,215"
,,Q2,BCP54,openPSU-cache:NPN,,SMD_Packages:SOT-223,,BCP54
,,Q3,BC857A,openPSU-cache:PNP,,SMD_Packages:SOT-23,,BC857A-TP
,,Q4,2N3055,openPSU-cache:NPN,,Discret:TO3,,2N3055G
,,R1,2.2k 1W,openPSU-cache:R,,Resistors_SMD:R_2512,,MCR100JZHJ222
,,R10,4.7R 1W,openPSU-cache:R,,Resistors_SMD:R_2010,,CRM2010-JW-4R7ELF
,,R11,27k 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,RC0805FR-0727KL
,,R12,56k 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,RC0805FR-0756KL
,,R13,33k 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,RC0805FR-0733KL
,,R14,1.5k 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,RC0805FR-071K5L
,,R15,1k 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,RC0805FR-071KL
,,R16,1k 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,RC0805FR-071KL
,,R17,180R 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,RC0805FR-07180RL
,,R18,33k 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,RC0805FR-0733KL
,,R19,2.2k 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,RC0805FR-072K2L
,,R2,82R 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,RC0805FR-0782RL
,,R20,10k 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,RC0805FR-0710KL
,,R21,10k 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,RC0805FR-0710KL
,,R22,1k 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,
,,R23,820R 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,RC0805FR-07820RL
,,R24,4.7R 1W,openPSU-cache:R,,Resistors_SMD:R_2010,,CRM2010-JW-4R7ELF
,,R25,4.7R 1W,openPSU-cache:R,,Resistors_SMD:R_2010,,CRM2010-JW-4R7ELF
,,R26,4.7R 1W,openPSU-cache:R,,Resistors_SMD:R_2010,,CRM2010-JW-4R7ELF
,,R27,4.7R 1W,openPSU-cache:R,,Resistors_SMD:R_2010,,CRM2010-JW-4R7ELF
,,R28,4.7R 1W,openPSU-cache:R,,Resistors_SMD:R_2010,,CRM2010-JW-4R7ELF
,,R29,4.7R 1W,openPSU-cache:R,,Resistors_SMD:R_2010,,CRM2010-JW-4R7ELF
,,R3,220R 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,RC0805FR-07220RL
,,R30,4.7R 1W,openPSU-cache:R,,Resistors_SMD:R_2010,,CRM2010-JW-4R7ELF
,,R31,4.7R 1W,openPSU-cache:R,,Resistors_SMD:R_2010,,CRM2010-JW-4R7ELF
,,R4,10k 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,
,,R7,4.7R 1W,openPSU-cache:R,,Resistors_ThroughHole:Resistor_Ceramic_Horizontal_L36mm-W11mm-H10mm-p45mm,,CRM2010-JW-4R7ELF
,,R8,27k 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,RC0805FR-0727KL
,,R9,2.2k 1/4W,openPSU-cache:R,,Resistors_SMD:R_0805,,RC0805FR-072K2L
,,U1,ADR02ARZ,openPSU-cache:MAX874,,SMD_Packages:SOIC-8-W,,ADR02ARZ-REEL7
,,U2,MC34071,openPSU-cache:TL081,,SMD_Packages:SOIC-8-W,,MC34071ADG
,,U3,MC34071,openPSU-cache:TL081,,SMD_Packages:SOIC-8-W,,MC34071ADG



Collated Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,mfg#
1,1,C1,10000uF 50v,openPSU-cache:C,Capacitors_ThroughHole:Capacitor30x51RM10,,SLPX103M050E7P3
2,5,"C10, C12, C13, C4, C5",100nF,openPSU-cache:C,Capacitors_SMD:C_0805,,CL21B104KBCNNNC
3,1,C11,10uF,openPSU-cache:C,Capacitors_SMD:C_0805,,GRM21BR71A106MA73L
4,2,"C2, C7",47uF 100v,openPSU-cache:C,Capacitors_ThroughHole:Capacitor10x16RM5,,UPW2A470MPD
5,1,C3,47uF,openPSU-cache:C,Capacitors_SMD:C_0805,,CL21A476MQCLRNC
6,2,"C6, C9",100pF,openPSU-cache:C,Capacitors_SMD:C_0805,,C0805C101J5GACTU
7,1,C8,330pF,openPSU-cache:C,Capacitors_SMD:C_0805,,C0805C331J5GACTU
8,2,"CONN1, CONN2",AC,openPSU-cache:CONN_01X01,Wire_Pads:SolderWirePad_single_2mmDrill,,
9,1,CONN3,V+,openPSU-cache:CONN_01X01,Wire_Pads:SolderWirePad_single_2-5mmDrill,,
10,1,CONN4,GND,openPSU-cache:CONN_01X01,Wire_Pads:SolderWirePad_single_2-5mmDrill,,
11,1,CONN5,SHUNT-,openPSU-cache:CONN_01X01,Socket_Strips:Socket_Strip_Straight_1x01,,
12,1,CONN6,SHUNT+,openPSU-cache:CONN_01X01,Socket_Strips:Socket_Strip_Straight_1x01,,
13,1,CONN7,C,openPSU-cache:CONN_01X01,Wire_Pads:SolderWirePad_single_2mmDrill,,
14,1,CONN8,B,openPSU-cache:CONN_01X01,Wire_Pads:SolderWirePad_single_2mmDrill,,
15,1,CONN9,E,openPSU-cache:CONN_01X01,Wire_Pads:SolderWirePad_single_2mmDrill,,
16,3,"CONN_LED1, POT_I1, POT_V1",H,openPSU-cache:CONN_01X01,Socket_Strips:Socket_Strip_Straight_1x01,,
17,3,"CONN_LED2, POT_I3, POT_V3",L,openPSU-cache:CONN_01X01,Socket_Strips:Socket_Strip_Straight_1x01,,
18,4,"D1, D2, D3, D4",S3G-13-F,openPSU-cache:DIODE,Diodes_SMD:Diode-SMC_Standard,,S3G-13-F
19,5,"D10, D13, D5, D6, D9",1N4148,openPSU-cache:DIODE,Mrk:SOD-123,,1N4148W-7-F
20,1,D11,SS1200-LTP,openPSU-cache:DIODE,Diodes_SMD:Diode-SMA_Standard,,SS1200-LTP
21,1,D12,OVERCURRENT,openPSU-cache:LED,LEDs:LED-0805,,LH R974-LP-1
22,2,"D14, D7",6.8v ZENER,openPSU-cache:ZENER,SMD_Packages:SOT-23,,BZX84C6V8LT1G
23,1,D15,TVS,openPSU-cache:TVS,Diodes_SMD:Diode-SMB_Standard,,1SMB30AT3G
24,1,D8,BLOWN,openPSU-cache:LED,LEDs:LED-0805,,
25,1,F1,10A,openPSU-cache:FUSE,Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_open_universal_Type-III,,01110501Z
26,2,"P1, P2",10k,openPSU-cache:POT,,,
27,1,P3,Monitor,openPSU-cache:CONN_01X03,Socket_Strips:Socket_Strip_Straight_1x03,,
28,2,"POT_I2, POT_V2",W,openPSU-cache:CONN_01X01,Socket_Strips:Socket_Strip_Straight_1x01,,
29,1,Q1,BC846B,openPSU-cache:NPN,SMD_Packages:SOT-23,,"BC846B,215"
30,1,Q2,BCP54,openPSU-cache:NPN,SMD_Packages:SOT-223,,BCP54
31,1,Q3,BC857A,openPSU-cache:PNP,SMD_Packages:SOT-23,,BC857A-TP
32,1,Q4,2N3055,openPSU-cache:NPN,Discret:TO3,,2N3055G
33,1,R1,2.2k 1W,openPSU-cache:R,Resistors_SMD:R_2512,,MCR100JZHJ222
34,10,"R10, R24, R25, R26, R27, R28, R29, R30, R31, R7",4.7R 1W,openPSU-cache:R,Resistors_SMD:R_2010,,CRM2010-JW-4R7ELF
35,2,"R11, R8",27k 1/4W,openPSU-cache:R,Resistors_SMD:R_0805,,RC0805FR-0727KL
36,1,R12,56k 1/4W,openPSU-cache:R,Resistors_SMD:R_0805,,RC0805FR-0756KL
37,2,"R13, R18",33k 1/4W,openPSU-cache:R,Resistors_SMD:R_0805,,RC0805FR-0733KL
38,1,R14,1.5k 1/4W,openPSU-cache:R,Resistors_SMD:R_0805,,RC0805FR-071K5L
39,3,"R15, R16, R22",1k 1/4W,openPSU-cache:R,Resistors_SMD:R_0805,,RC0805FR-071KL
40,1,R17,180R 1/4W,openPSU-cache:R,Resistors_SMD:R_0805,,RC0805FR-07180RL
41,2,"R19, R9",2.2k 1/4W,openPSU-cache:R,Resistors_SMD:R_0805,,RC0805FR-072K2L
42,1,R2,82R 1/4W,openPSU-cache:R,Resistors_SMD:R_0805,,RC0805FR-0782RL
43,3,"R20, R21, R4",10k 1/4W,openPSU-cache:R,Resistors_SMD:R_0805,,RC0805FR-0710KL
44,1,R23,820R 1/4W,openPSU-cache:R,Resistors_SMD:R_0805,,RC0805FR-07820RL
45,1,R3,220R 1/4W,openPSU-cache:R,Resistors_SMD:R_0805,,RC0805FR-07220RL
46,1,U1,ADR02ARZ,openPSU-cache:MAX874,SMD_Packages:SOIC-8-W,,ADR02ARZ-REEL7
47,2,"U2, U3",MC34071,openPSU-cache:TL081,SMD_Packages:SOIC-8-W,,MC34071ADG
